place,name,image,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10
10,"Bald Cypress","baldCypress_2.jpg",#272408,#5D6100,#5D6213,#797607,#8B8808,#7B7C36,#8A8F64,#C5BB6D,#B1A708,#CABD7B
2,"Big Muhly","bigMuhly_2.jpg",#393516,#464D2A,#4B4F1D,#69735A,#5B6C16,#666C3A,#9A9D71,#B5B478,#BDBE90,#DEDCA7
6,"Butterfly Vine","butterflyVine_2.jpg",#415806,#456600,#406500,#878609,#A99D51,#A18F21,#CCB704,#D6C600,#DCC500,#D0A854
9,"Iceberg Rose","icebergRose_2.jpg",#272314,#242602,#708607,#85882B,#4D562B,#808C00,#98A240,#E1D5B5,#E6D59B,#E9E6E0
1,"Lantana","lantana_2.jpg",#4F6B43,#192A0B,#20390D,#628447,#4D3B00,#F1CAC8,#DF8D00,#FA9B00,#FFB000,#B43E00,#D291C0
5,"Soft Caress Mahonia","mahonia_2.jpg",#4F6B43,#1E221A,#132014,#334137,#45685F,#364F49,#5F6D65,#677C5B,#8DA898,#8DA898
7,"Purple Morning Glory","morningGlory_2.jpg",#47612C,#738938,#5A7A43,#605F62,#4C2D25,#B2B685,#842279,#8A7590,#D79EEC,#B78AD8
3,"Moses-in-the-cradle","mitc_2.jpg",#515B4B,#080607,#512C22,#7A5975,#561A3D,#C173AE,#FAB3C0,#C0AABE,#AF7C75,#D6CDBB
8,"Muicle","muicle_2.jpg",#46373D,#4E5150,#484842,#361A27,#5D2D47,#835979,#783E5D,#9F6C8C,#C0729B,#DDBFC3
4,"White Autumn Sage","whiteAutumnSage_2.jpg",#4C4B13,#697032,#73794E,#6D7732,#B1A473,#C0AE94,#C1BD00,#DFD5C2,#FBFAF6,#F7DCBA
